title,name,notes,url,tags,organization,author,license,resources_count
02P Expenditure Over 25k - Dec-21,02p-expenditure-over-25k-dec-21,"NHS Barnsley CCG Expenditure over £25K Dec-21
",,[],NHS Barnsley CCG,,Creative Commons Attribution,1
02P Expenditure Over 25k - Feb-20,02p-expenditure-over-25k-feb-20,"nhs-barnsley-ccg-expenditure-over-25k-Feb-2020
",,[],NHS Barnsley CCG,,Creative Commons Attribution,1
02P Expenditure Over 25k - Feb-21,02p-expenditure-over-25k-feb-21,"NHS Barnsley CCG Expenditure over £25K Feb 2021
",,[],NHS Barnsley CCG,,Creative Commons Attribution,2
02P Expenditure Over 25k - Feb-22,02p-expenditure-over-25k-feb-22,"NHS Barnsley CCG Expenditure over £25K Feb-22
",,[],NHS Barnsley CCG,,Creative Commons Attribution,1
02P Expenditure Over 25k - Jan-21,02p-expenditure-over-25k-jan-21,"NHS Barnsley CCG Expenditure over £25K Jan 2021
",,[],NHS Barnsley CCG,,Creative Commons Attribution,1
02P Expenditure Over 25k - Jul-20a,02p-expenditure-over-25k-jul-20a,"NHS Barnsley CCG Expenditure over £25K Jul 2020
",,[],NHS Barnsley CCG,,Creative Commons Attribution,1
02P Expenditure Over 25k - Jul-21,02p-expenditure-over-25k-jul-21,"NHS Barnsley CCG Expenditure over £25K Jul-21
",,[],NHS Barnsley CCG,,Creative Commons Attribution,1
02P Expenditure Over 25k - Jun-20,02p-expenditure-over-25k-jun-20,"NHS Barnsley CCG Expenditure over £25K Jun 2020
",,[],NHS Barnsley CCG,,Creative Commons Attribution,2
02P Expenditure Over 25k - Jun-21,02p-expenditure-over-25k-jun-21,"NHS Barnsley CCG Expenditure over £25K Jun-21
",,[],NHS Barnsley CCG,,Creative Commons Attribution,1
02P Expenditure Over 25k - Jun-22,02p-expenditure-over-25k-jun-22,"NHS Barnsley CCG Expenditure over £25K Jun-22
",,[],NHS Barnsley CCG,,Creative Commons Attribution,1
02P Expenditure Over 25k - Jun-22,02p-expenditure-over-25k-jun-22a,"NHS Barnsley CCG Expenditure over £25K Jun-22
",,[],NHS Barnsley CCG,,Creative Commons Attribution,2
02P Expenditure Over 25k - Mar-19a,02p-expenditure-over-25k-mar-19,"NHS Barnsley CCG Expenditure over £25K Mar 2019
",,[],NHS Barnsley CCG,,Other (Public Domain),1
02P Expenditure Over 25k - Mar-20,02p-expenditure-over-25k-mar-20,"nhs-barnsley-ccg-expenditure-over-25k-Mar-2020
",,[],NHS Barnsley CCG,,Creative Commons Attribution,1
02P Expenditure Over 25k - Mar-21,02p-expenditure-over-25k-mar-21,"NHS Barnsley CCG Expenditure over £25K Mar 2021
",,[],NHS Barnsley CCG,,Creative Commons Attribution,1
02P Expenditure Over 25k - Mar-22,02p-expenditure-over-25k-mar-22,"NHS Barnsley CCG Expenditure over £25K Mar-22
",,[],NHS Barnsley CCG,,Creative Commons Attribution,1
02P Expenditure Over 25k - May-20,02p-expenditure-over-25k-may-20,"NHS Barnsley CCG Expenditure over £25K May 2020
",,[],NHS Barnsley CCG,,Creative Commons Attribution,1
02P Expenditure Over 25k - May-21,02p-expenditure-over-25k-may-21,"NHS Barnsley CCG Expenditure over £25K May-21
",,[],NHS Barnsley CCG,,Creative Commons Attribution,1
02P Expenditure Over 25k - May-22,02p-expenditure-over-25k-may-22,"NHS Barnsley CCG Expenditure over £25K May-22
",,[],NHS Barnsley CCG,,Creative Commons Attribution,1
02P Expenditure Over 25k - Nov-19,02p-expenditure-over-25k-nov-19,"NHS Barnsley CCG Expenditure over £25K Nov 2019
",,[],NHS Barnsley CCG,,Creative Commons Attribution,1
02P Expenditure Over 25k - Nov-20,02p-expenditure-over-25k-nov-20,"NHS Barnsley CCG Expenditure over £25K Nov 2020
",,[],NHS Barnsley CCG,,Creative Commons Attribution,1
02P Expenditure Over 25k - Nov-21,02p-expenditure-over-25k-nov-21,"NHS Barnsley CCG Expenditure over £25K Nov-21
",,[],NHS Barnsley CCG,,Creative Commons Attribution,2
02P Expenditure Over 25k - Oct-20,02p-expenditure-over-25k-oct-20,"NHS Barnsley CCG Expenditure over £25K Oct 2020
",,[],NHS Barnsley CCG,,Creative Commons Attribution,1
02P Expenditure Over 25k - Oct-21,02p-expenditure-over-25k-oct-21,"NHS Barnsley CCG Expenditure over £25K Oct-21
",,[],NHS Barnsley CCG,,Creative Commons Attribution,1
Expenditure Over 25k - Sep-19,02p-expenditure-over-25k-sep-19,"NHS Barnsley CCG Expenditure over £25K Sep 2019
",,[],NHS Barnsley CCG,,Creative Commons Attribution,2
02P Expenditure Over 25k - Sep-20,02p-expenditure-over-25k-sep-20,"NHS Barnsley CCG Expenditure over £25K Sep 2020
",,[],NHS Barnsley CCG,,Creative Commons Attribution,2
02P Expenditure Over 25k - Sep-21,02p-expenditure-over-25k-sep-21,"NHS Barnsley CCG Expenditure over £25K Sep-21
",,[],NHS Barnsley CCG,,Creative Commons Attribution,1
03L Expenditure Over 25k - Jul-20,03l-expenditure-over-25k-jul-20,"NHS Rotherham CCG Expenditure over £25K Jul-20
",,[],NHS Rotherham CCG,,Creative Commons Attribution,1
03X Aug 18 Over £25k Expenditure,03x-aug-18-over-25k-expenditure,Demonstrating all payments exceeding £25k from the CCG during the month of Jul 2018.,,[],NHS Erewash CCG,,UK Open Government Licence (OGL),0
03Y Jul 2018 Over 25k Expenditure,03y-jul-2018-over-25k-expenditure,Demonstrating all payments exceeding £25k from the CCG during the month of Jul 2018.,,[],NHS Hardwick CCG,,UK Open Government Licence (OGL),3
04J Jul 18 Over £25k Expenditure,04j-jul-18-over-25k-expenditure,Demonstrating all payments exceeding £25k from the CCG during the month of Jul 2018.,,[],NHS North Derbyshire CCG,,UK Open Government Licence (OGL),0
060-Data-Stats,060-data-stats,Ethnicity data,,[],Ministry of Defence,,,0
Housing service requests,078,Data listing service requests from residents who are experiencing problems with their housing.,Plymouth City Council,[],Plymouth City Council,,UK Open Government Licence (OGL),1
Stalled planning sites,098,Details of the lapsed or stalled planning applications in Plymouth City Council. Data spans 2006 to 2016.,,[],Plymouth City Council,,UK Open Government Licence (OGL),1
http://inspire.misoportal.com/metadata/files/northampton,0b335f80-1e10-4cea-8f62-8c8158fe9a66,,http://inspire.misoportal.com/metadata/files/northampton,[],Northampton Borough Council,,,0
__1,__1,None,,[],United Kingdom Hydrographic Office,,UK Open Government Licence (OGL),2
100 West Cromwell Road consultation documents,100-west-cromwell-road-consultation-documents,,https://data.london.gov.uk/dataset/100-west-cromwell-road-consultation-documents,[],Greater London Authority,,,22
101 Call Handling,101-call-handling,"Data includes the number of 101 calls taken by each police force area, plus the response times, abandonment rates and explanation for these.",,[],Home Office,,UK Open Government Licence (OGL),2
10 class settlement morphology,10-class-settlement-morphology,Rural and Urban Definitions Grid showing settlement classification,,[],Natural England,,,0
10 class settlement morphology,10-class-settlement-morphology1,"Rural and Urban Definitions Grid showing settlement classification
Attribution statement: © Natural England copyright. Contains Ordnance Survey data © Crown copyright and database right [year].",,[],Natural England,,UK Open Government Licence (OGL),1
10k sheet data files,10k-sheet-data-files,"An important paper archive of a wide variety of miscellaneous geological information organised on the basis of its location within 1:10 000 scale geological map sheet areas in Great Britain. The majority of the data has been produced or collected from a wide variety of sources by BGS staff since 1835. Mainly acquired as part of the mapping programme new information is added on a regular basis. The data may not fit into any of the main collections, but is valuable for future projects and answering enquiries.",,"['Boreholes', 'Coal', 'Geology', 'Maps', 'Mine shafts', 'Mining', 'NERC_DDC', 'Resource assessment', 'Water', 'data.gov.uk (non-INSPIRE)']",British Geological Survey (BGS),,,1
