Title,Alternative Title,Description,Language,Creator,Publisher,Resource Type,Keyword,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Information,Download,Image,Manifest,Identifier,ID,Access Rights,Provider,Code,Member Of,Status,Accrual Method,Date Accessioned,Rights,Resource Class,Format,Suppressed,Child Record
,Map of Florida,,English,"Kenyon Company (Des Moines, Iowa)","Kenyon Company (Des Moines,  Iowa)",,Transportation|Railroads,1910,,,Florida,"-87.6333,24.5167,-80.0167,31.0",https://umedia.lib.umn.edu/item/p16022coll230:1521,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/1521/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/1521,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/1521/manifest.json,UMN_ALMA:9974773808401701,p16022coll230:1521,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-08-24,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
,"Map of Georgia & Alabam : exhibiting the post offices, post roads, canals, rail roads &c.","Detailed map showing relief by hachures, drainage, township and county boundaries, cities and towns, canals, roads, and railroads. Dimensions: 91 x 124 centimeters",English,"Burr, David H., 1803-1875","(London], )",,,1839,,,Georgia; Alabama,"-88.4667,30.1333,-81.05,35.0",https://umedia.lib.umn.edu/item/p16022coll230:1541,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/1541/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/1541,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/1541/manifest.json,UMN_ALMA:9963417110001701,p16022coll230:1541,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-08-24,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
,"Map of Indian Territory : indicating the progress of survey to March 1, 1896",,English,"Lowe, R. P","Dept. of the Interior? (Washington,  D.C.?)",,,1896?,,,United States,"-98.0,33.5,-94.5,38.0",https://umedia.lib.umn.edu/item/p16022coll230:1538,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/1538/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/1538,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/1538/manifest.json,UMN_ALMA:9917943100001701,p16022coll230:1538,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-08-24,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
,"Map of Kentucky & Tennessee : exhibiting the post offices, post roads, canals, rail roads, &c.","Detailed map showing relief by hachures, drainage, township and county boundaries, cities and towns, canals, roads, and railroads. Dimensions: 81 x 124 centimeters",English,"Burr, David H., 1803-1875","(London], )",,,1839,,,Kentucky; Tennessee,"-90.3,34.9667,-81.6333,39.1333",https://umedia.lib.umn.edu/item/p16022coll230:1526,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/1526/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/1526,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/1526/manifest.json,UMN_ALMA:9963434370001701,p16022coll230:1526,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-08-24,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
,Map of Maryland showing state road system and state aid roads : 1917,,English,Maryland Geological Survey,"Maryland Geological Survey (Baltimore,  Md.?)",,Roads,1917,,,Maryland,"-79.5,37.8333,-75.0,40.1667",https://umedia.lib.umn.edu/item/p16022coll230:1509,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/1509/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/1509,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/1509/manifest.json,UMN_ALMA:9933508400001701,p16022coll230:1509,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-08-24,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
,"Map of Mississippi, Louisiana & Arkansas : exhibiting the post offices, post roads, canals, rail roads, &c.","Detailed map showing drainage, township and county boundaries, cities and towns, canals, roads, and railroads. Dimensions: on sheet 124 x 91 centimeters",English,"Burr, David H., 1803-1875",J. Arrowsmith (London),,,1839,,,Mississippi; Louisiana; Arkansas,"-94.0,30.0,-89.0,36.0",https://umedia.lib.umn.edu/item/p16022coll230:1571,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/1571/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/1571,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/1571/manifest.json,UMN_ALMA:9963417330001701,p16022coll230:1571,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-08-24,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
,"Map of Tennessee : showing agricultural resources, counties, railways, post offices, public highways, rivers, soil formation, and location of coal, phosphate, copper and other minerals",,English,Tennessee. Department of Agriculture,Issued by the Tennessee Dept. of Agriculture and the Bureau of Immigration : (Nashville),,Agriculture,1913,,,Tennessee,,https://umedia.lib.umn.edu/item/p16022coll230:1605,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/1605/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/1605,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/1605/manifest.json,UMN_ALMA:9943454440001701,p16022coll230:1605,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-08-24,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
,[Map of Texas and Indian Territory],,English,N.D. Thompson Publishing Co,"N.D. Thompson & Co (St. Louis,  Mo), 1879",,,1879,,,Texas,"-106.0,26.0,-93.0,37.0",https://umedia.lib.umn.edu/item/p16022coll230:1576,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/1576/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/1576,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/1576/manifest.json,UMN_ALMA:9917960780001701,p16022coll230:1576,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-08-24,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
,Map of the city of Washington,,English,,"(Washington,  D.C.?)",,,1898,,,"Washington, District of Columbia","-77.0667,38.85,-76.9667,38.9333",https://umedia.lib.umn.edu/item/p16022coll230:1536,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/1536/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/1536,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/1536/manifest.json,UMN_ALMA:9974047609901701,p16022coll230:1536,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-08-24,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
,"Map of the peninsula of Florida and adjacent islands, Florida East Coast Railway",,English,Matthews-Northrup Company,"Matthews-Northrup Works (Buffalo,  N.Y)",,Florida East Coast Railway|Florida East Coast Railway|Railroads,1926,,,Florida,"-83.0667,24.5167,-80.0167,30.8833",https://umedia.lib.umn.edu/item/p16022coll230:1554,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/1554/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/1554,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/1554/manifest.json,UMN_ALMA:9974050708801701,p16022coll230:1554,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-08-24,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
,"Map of the river Sabine from its mouth on the Gulf of Mexico in the Sea to Logan's Ferry in latitude 31° .58'.24"". north : shewing the boundary between the United States and the Republic of Texas between said points, as marked and laid down by Survey in 1840, under the direction of the Commissioners appointed for that purpose, under the 1st Article of the Convention signed at Washington April 25th 1838",,English,"Lee, T. J","(Washn. [i.e. Washington,  D.C)",,,1840 - 1849?,,,United States,"-94.0,29.6667,-93.5833,32.0",https://umedia.lib.umn.edu/item/p16022coll230:1565,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/1565/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/1565,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/1565/manifest.json,UMN_ALMA:9917957130001701,p16022coll230:1565,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-08-24,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
,"Map of the routes examined and surveyed for the Winchester and Potomac Rail Road, State of Virginia, under the direction of Capt. J.D. Graham, U.S. Top. Eng., 1831 and 1832; surveyed by Lts. A.D. Mackay and E. French, 1st Arty., assistants in 1831, and Lts. E. French and J.F. Izard, assistants in 1832; drawn from the original plot by Lt. Humphreys, 2d Artillery","Topographic map surveyed in strips along the railroad routes. Shows property owners and covers an area between the Shenandoah and Potomac Rivers to Winchester. Includes table showing ""a summary of the routes surveyed for the Winchester and Potomac Rail Road, State of Virginia."" Dimensions: 53 x 58 centimeters",English,"Humphreys, A. A. (Andrew Atkinson), 1810-1883","(], )",,Winchester and Potomac Railroad Company|Railroads|Railroads,1832?,,,Virginia,"-83.6667,36.5333,-75.15,39.45",https://umedia.lib.umn.edu/item/p16022coll230:1567,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/1567/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/1567,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/1567/manifest.json,UMN_ALMA:9943444960001701,p16022coll230:1567,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-08-24,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
