Publisher,Date,Title,Description,Metadata File,HTML,Download,Information,ID,Bounding Box,Resource Type,Resource Class
"Allegheny County - Address Points
	This dataset contains Address Points in Allegheny County. The Address Points were created by GDR for the Allegheny County CAD project, October 2008. Data is updated by County staff as changes and corrections are found, on a continuous basis. Updates are sent to PASDA monthly.

Metadata
 | 
Download
 | 
Preview
 | 
KMZ
 | 
Spreadsheet
 | 
GeoJSON
 | 
Add to ArcMap:
Image
 or 
Feature
 | 
Add to ArcGIS Pro
 | More Options...",2023,Allegheny County - Address Points,"This dataset contains Address Points in Allegheny County. The Address Points were created by GDR for the Allegheny County CAD project, October 2008. Data is updated by County staff as changes and corrections are found, on a continuous basis. Updates are sent to PASDA monthly.",FullMetadataDisplay.aspx?file=AlleghenyCounty_AddressPoints202307.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCounty_AddressPoints202307.xml,https://www.pasda.psu.edu/download/alleghenycounty/AlleghenyCounty_AddressPoints202307.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1219,pasda-1219,"-80.359053,40.186501,-79.683539,40.684323",unspecified data,Datasets
"Allegheny County - Basins
3 Rivers Wet Weather Demonstration Program Outreach Planning Basins

Metadata
 | 
Download
 | 
Preview
 | 
KMZ
 | 
Spreadsheet
 | 
GeoJSON
 | 
Add to ArcMap:
Image
 or 
Feature
 | 
Add to ArcGIS Pro
 | More Options...",2002,Allegheny County - Basins,3 Rivers Wet Weather Demonstration Program Outreach Planning Basins,FullMetadataDisplay.aspx?file=AlleghenyCounty_Basins2002.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCounty_Basins2002.xml,https://www.pasda.psu.edu/download/alleghenycounty/AlleghenyCounty_Basins2002.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1194,pasda-1194,"-80.291495,40.290944,-79.683807,40.597540",unspecified data,Datasets
"Allegheny County - Blocks
Derived from original MAPINDX: Map Index Sheets from Block and Lot Grid of Property Assessment and based on aerial photography, showing 1983 datum with solid line and NAD 27 with 5"" grid tics and italicized grid coordinate markers and outlines of map sheet boundaries.  Each grid square is 3500 x 4500 feet. Each Index Sheet contains 16 lot/block sheets, labeled from left to right, top to bottom (4 across, 4 down): A, B, C, D, E, F, G, H, J, K, L, M, N, P, R, S. The first (4) numeric characters in  a parcelID indicate the Index sheet in which the parcel can be found, the alpha character identifies the block in which most (or all) of the property lies.

Metadata
 | 
Download
 | 
Preview
 | 
KMZ
 | 
Spreadsheet
 | 
GeoJSON
 | 
Add to ArcMap:
Image
 or 
Feature
 | 
Add to ArcGIS Pro
 | More Options...",2002,Allegheny County - Blocks,"Derived from original MAPINDX: Map Index Sheets from Block and Lot Grid of Property Assessment and based on aerial photography, showing 1983 datum with solid line and NAD 27 with 5"" grid tics and italicized grid coordinate markers and outlines of map sheet boundaries.  Each grid square is 3500 x 4500 feet. Each Index Sheet contains 16 lot/block sheets, labeled from left to right, top to bottom (4 across, 4 down): A, B, C, D, E, F, G, H, J, K, L, M, N, P, R, S. The first (4) numeric characters in  a parcelID indicate the Index sheet in which the parcel can be found, the alpha character identifies the block in which most (or all) of the property lies.",FullMetadataDisplay.aspx?file=AlleghenyCounty_Blocks2002.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCounty_Blocks2002.xml,https://www.pasda.psu.edu/download/alleghenycounty/AlleghenyCounty_Blocks2002.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1196,pasda-1196,"-80.374588,40.180013,-79.669315,40.685169",unspecified data,Datasets
"Allegheny County - Boundary
This dataset contains the Allegheny County boundary.

Metadata
 | 
Download
 | 
Preview
 | 
KMZ
 | 
Spreadsheet
 | 
Add to ArcMap:
Image
 or 
Feature
 | 
Add to ArcGIS Pro
 | More Options...",2016,Allegheny County - Boundary,This dataset contains the Allegheny County boundary.,FullMetadataDisplay.aspx?file=AlleghenyCounty_Boundary2016.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCounty_Boundary2016.xml,https://www.pasda.psu.edu/download/alleghenycounty/AlleghenyCounty_Boundary2016.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=72,pasda-72,"-80.368058,40.184919,-79.676165,40.682800",unspecified data,Datasets
"Allegheny County - Building Footprints
Footprints for all buildings and out buildings in Allegheny County.  Buildings are captured by following the edge of the roof line.  All near orthogonal corners are square.  Interim roof lines, such as dormers, are not shown. Minor structures such as carports, decks, patios, stairs, etc. which are part of the structure are not shown.  Building Footprints were updated as a result of a flyover in 2004. Buildings less than 400 square feet were not captured. Special consideration was given to garages, less than 400 square feet, and were digitized if greater than 200 square feet.

Metadata
 | 
Download
 | 
Preview
 | 
KMZ
 | 
GeoJSON
 | 
Add to ArcMap:
Image
 or 
Feature
 | 
Add to ArcGIS Pro
 | More Options...",2023,Allegheny County - Building Footprints,"Footprints for all buildings and out buildings in Allegheny County.  Buildings are captured by following the edge of the roof line.  All near orthogonal corners are square.  Interim roof lines, such as dormers, are not shown. Minor structures such as carports, decks, patios, stairs, etc. which are part of the structure are not shown.  Building Footprints were updated as a result of a flyover in 2004. Buildings less than 400 square feet were not captured. Special consideration was given to garages, less than 400 square feet, and were digitized if greater than 200 square feet.",FullMetadataDisplay.aspx?file=AlleghenyCounty_Footprints202307.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCounty_Footprints202307.xml,https://www.pasda.psu.edu/download/alleghenycounty/AlleghenyCounty_Footprints202307.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1195,pasda-1195,"-80.373487,40.180738,-79.672725,40.687091",unspecified data,Datasets
"Allegheny County - Cemeteries
Outlines of public and private cemeteries greater than one acre in size. Areas were delineated following a generalized line along the outside edge of the area. Individual features within the cemetery are not shown.

Metadata
 | 
Download
 | 
Preview
 | 
KMZ
 | 
Spreadsheet
 | 
GeoJSON
 | 
Add to ArcMap:
Image
 or 
Feature
 | 
Add to ArcGIS Pro
 | More Options...",2002,Allegheny County - Cemeteries,Outlines of public and private cemeteries greater than one acre in size. Areas were delineated following a generalized line along the outside edge of the area. Individual features within the cemetery are not shown.,FullMetadataDisplay.aspx?file=AlleghenyCounty_Cemetery2002.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCounty_Cemetery2002.xml,https://www.pasda.psu.edu/download/alleghenycounty/AlleghenyCounty_Cemetery2002.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1197,pasda-1197,"-80.345104,40.214381,-79.685769,40.678135",unspecified data,Datasets
"Allegheny County - Contours
Contour data was created as a result of a county flyover in the spring of 2004. Contours were created from a DTM Feature Dataset, upgraded by Baker and T-3 to support National Mapping Accuracy Standards (NMAS) for contours . Intermediate Contours are contours spaced at 5 foot intervals. Depression Contours are contours showing the edges and slope in a depression at 5 foot intervals. Contours are coded separately for delineation between depression and intermediate contours.

Metadata
 | 
Download
 | 
Preview
 | 
Add to ArcMap:
Image
 or 
Feature
 | 
Add to ArcGIS Pro
 | More Options...",2006,Allegheny County - Contours,"Contour data was created as a result of a county flyover in the spring of 2004. Contours were created from a DTM Feature Dataset, upgraded by Baker and T-3 to support National Mapping Accuracy Standards (NMAS) for contours . Intermediate Contours are contours spaced at 5 foot intervals. Depression Contours are contours showing the edges and slope in a depression at 5 foot intervals. Contours are coded separately for delineation between depression and intermediate contours.",FullMetadataDisplay.aspx?file=AlleghenyCounty_Contours2006.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCounty_Contours2006.xml,https://www.pasda.psu.edu/download/alleghenycounty/AlleghenyCounty_Contours2006.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1200,pasda-1200,"-80.373621,40.180685,-79.670684,40.687004",unspecified data,Datasets
"Allegheny County - Contours 2017
Lidar Data Products for the Allegheny County, PA collection area including a 6ft DEM, hydrogrpahic breakines, and tiled 2ft Contours. The lidar dataset was collected to be utilized for the creation of a digital elevation model, hydrographic breaklines, and 2ft contours. Other uses expected.

Metadata
 | 
Download
 | 
Preview
 | 
Add to ArcMap:
Image
 | More Options...",2017,Allegheny County - Contours 2017,"Lidar Data Products for the Allegheny County, PA collection area including a 6ft DEM, hydrogrpahic breakines, and tiled 2ft Contours. The lidar dataset was collected to be utilized for the creation of a digital elevation model, hydrographic breaklines, and 2ft contours. Other uses expected.",FullMetadataDisplay.aspx?file=AlleghenyCountyLidar2017.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCountyLidar2017.xml,https://www.pasda.psu.edu/download/alleghenycountyimagery2017/PAAlleghenyCo_Contours2017/,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1699,pasda-1699,"-80.085650,40.572534,-80.048712,40.600694",unspecified data,Datasets
"Allegheny County - Councils of Government
Data was created to portray the boundaries of the Councils of Government (COG's) in Allegheny County.

Metadata
 | 
Download
 | 
Preview
 | 
KMZ
 | 
Spreadsheet
 | 
GeoJSON
 | 
Add to ArcMap:
Image
 or 
Feature
 | 
Add to ArcGIS Pro
 | More Options...",2008,Allegheny County - Councils of Government,Data was created to portray the boundaries of the Councils of Government (COG's) in Allegheny County.,FullMetadataDisplay.aspx?file=AlleghenyCounty_COGs2008.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCounty_COGs2008.xml,https://www.pasda.psu.edu/download/alleghenycounty/AlleghenyCounty_COGs2008.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1199,pasda-1199,"-80.368058,40.184919,-79.676165,40.682800",unspecified data,Datasets
"Allegheny County - County Council Districts
Data was created to portray the boundaries of the County Council Districts in Allegheny County.

Metadata
 | 
Download
 | 
Preview
 | 
KMZ
 | 
Spreadsheet
 | 
GeoJSON
 | 
Add to ArcMap:
Image
 or 
Feature
 | 
Add to ArcGIS Pro
 | More Options...",2012,Allegheny County - County Council Districts,Data was created to portray the boundaries of the County Council Districts in Allegheny County.,FullMetadataDisplay.aspx?file=AlleghenyCounty_CntyCouncil201205.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCounty_CntyCouncil201205.xml,https://www.pasda.psu.edu/download/alleghenycounty/AlleghenyCounty_CntyCouncil201205.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1198,pasda-1198,"-80.368058,40.184919,-79.676165,40.682800",unspecified data,Datasets
"Allegheny County - Farmers Markets
This dataset contains Farmers Market locations in Allegheny County. 

Metadata
 | 
Download
 | 
Preview
 | 
KMZ
 | 
Spreadsheet
 | 
GeoJSON
 | 
Add to ArcMap:
Image
 or 
Feature
 | 
Add to ArcGIS Pro
 | More Options...",2017,Allegheny County - Farmers Markets,This dataset contains Farmers Market locations in Allegheny County.,FullMetadataDisplay.aspx?file=AlleghenyCounty_FarmersMarkets2017.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCounty_FarmersMarkets2017.xml,https://www.pasda.psu.edu/download/alleghenycounty/AlleghenyCounty_FarmersMarkets2017.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1229,pasda-1229,"-80.420896,40.208619,-79.699163,40.673260",unspecified data,Datasets
"Allegheny County - Floodplain
In an effort to expedite the permit review process for Water Obstruction and Encroachment Applications, the Pennsylvania Department of Environmental Protection initiated a plan to replace hard-copy maps with digital GIS sets. The project is referred to as the 105 Spatial Data System (105SDS) Pennsylvania river floodplains and coastal floodplains are two of many spatial data sets that were used in the 105SDS project. As a result of work completed by Law Environmental, Inc. on the statewide low-level radioactive waste siting project, DEP received two coverages depicting river and coastal floodplains. However, due to the process used in constructing these data sets, there were many areas throughout the state in which floodplains were not digitized. The primary purpose of this task was to complete the digital floodplain mapping in these areas. 
Purpose: INTENDED USE OF DATA; Created to do permit reviews for Water Obstruction and Encroachment Applications. LIMITATIONS OF DATA; Due to the nature of transferring the floodplains from the Federal Emergency Management Agency maps to plotted 1:24000 scale maps this coverage should be considered to be the ""best representation"" of the data but not as accurate as, for example, a map of Global Positioning System's floodplain coordinates

Metadata
 | 
Download
 | 
Preview
 | 
KMZ
 | 
Spreadsheet
 | 
Add to ArcMap:
Image
 or 
Feature
 | 
Add to ArcGIS Pro
 | More Options...",2000,Allegheny County - Floodplain,"In an effort to expedite the permit review process for Water Obstruction and Encroachment Applications, the Pennsylvania Department of Environmental Protection initiated a plan to replace hard-copy maps with digital GIS sets. The project is referred to as the 105 Spatial Data System (105SDS) Pennsylvania river floodplains and coastal floodplains are two of many spatial data sets that were used in the 105SDS project. As a result of work completed by Law Environmental, Inc. on the statewide low-level radioactive waste siting project, DEP received two coverages depicting river and coastal floodplains. However, due to the process used in constructing these data sets, there were many areas throughout the state in which floodplains were not digitized. The primary purpose of this task was to complete the digital floodplain mapping in these areas. 
Purpose: INTENDED USE OF DATA; Created to do permit reviews for Water Obstruction and Encroachment Applications. LIMITATIONS OF DATA; Due to the nature of transferring the floodplains from the Federal Emergency Management Agency maps to plotted 1:24000 scale maps this coverage should be considered to be the ""best representation"" of the data but not as accurate as, for example, a map of Global Positioning System's floodplain coordinates",FullMetadataDisplay.aspx?file=AlleghenyCounty_Floodplain2000.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCounty_Floodplain2000.xml,https://www.pasda.psu.edu/download/alleghenycounty/AlleghenyCounty_Floodplain2000.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1201,pasda-1201,"-80.52,39.72,-74.69,42.51",unspecified data,Datasets
"Allegheny County - Greenways
The Greenways feature class consists of a compilation of the following data: agricultural easements, Allegheny Land Trust GREENPRINT, Conservation Streams buffered by 50 ft, Forested Floodplains, City of Pittsburgh designated Greenways, Land Trust Properties, Rivers buffered by 100 ft, sensitive slopes, wetlands 1 acre or more buffered by 50 ft, golf courses, parks and trails.  Building footprints have been deleted from the feature class, but can be added back (see ModelWorkspace\Buildings_in_Greenways).

Metadata
 | 
Download
 | 
Preview
 | 
KMZ
 | 
Spreadsheet
 | 
GeoJSON
 | 
Add to ArcMap:
Image
 or 
Feature
 | 
Add to ArcGIS Pro
 | More Options...",2010,Allegheny County - Greenways,"The Greenways feature class consists of a compilation of the following data: agricultural easements, Allegheny Land Trust GREENPRINT, Conservation Streams buffered by 50 ft, Forested Floodplains, City of Pittsburgh designated Greenways, Land Trust Properties, Rivers buffered by 100 ft, sensitive slopes, wetlands 1 acre or more buffered by 50 ft, golf courses, parks and trails.  Building footprints have been deleted from the feature class, but can be added back (see ModelWorkspace\Buildings_in_Greenways).",FullMetadataDisplay.aspx?file=AlleghenyCounty_Greenways201003.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCounty_Greenways201003.xml,https://www.pasda.psu.edu/download/alleghenycounty/AlleghenyCounty_Greenways201003.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1208,pasda-1208,"-80.52,39.72,-74.69,42.51",unspecified data,Datasets
