Title,Alternative Title,Description,Language,Creator,Title Source,Resource Class,Resource Type,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Format,Information,Download,ID,Identifier,Provider,Code,Member Of,Is Part Of,Rights,Accrual Method,Date Accessioned,Access Rights
BPTC GTFS Feed [Indiana--Bloomington],BPTC GTFS Feed,,eng,data.bloomington.in.gov,Indiana--Bloomington,Datasets,Vector data,2022-07-05,Continually updated resource,,Indiana--Bloomington|Indiana,"-86.592,39.121,-86.471,39.221",Shapefile,https://data.bloomington.in.gov/d/gief-ttiy,https://data.bloomington.in.gov/download/gief-ttiy/application/zip,gief-ttiy,https://data.bloomington.in.gov/api/views/gief-ttiy,"City of Bloomington, Indiana Open Data Portal",01c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,01c-01,,Socrata,2024-05-28,Public
Historical - ccgisdata - Address Points for Area 20 () [Illinois--Cook County] {2016},Historical - ccgisdata - Address Points for Area 20 (2016),"This Address Point feature class contains one point for every address in Survey Township 20 (Township 38 N, Range 14 E; see ccgisdata - Survey Township (Area) 2014).",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2016-05-12,2016,2016-2016,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/24hu-vx3h,https://datacatalog.cookcountyil.gov/api/geospatial/24hu-vx3h?method=export&format=Original,24hu-vx3h,https://datacatalog.cookcountyil.gov/api/views/24hu-vx3h,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Parcel [Illinois--Cook County] {2014},Historical - ccgisdata - Parcel 2014,The Parcel 2014 feature contains tax parcel polygons for the 2014 property tax assessment at the County. This feature reflects tax parcel polygons as they existed from 1/1/2014 through 12/31/2014. Each parcel is uniquely identified with a Property Index Number (PIN).,eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2015-11-06,2014,2014-2014,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/2m9h-cq6j,https://datacatalog.cookcountyil.gov/api/geospatial/2m9h-cq6j?method=export&format=Original,2m9h-cq6j,https://datacatalog.cookcountyil.gov/api/views/2m9h-cq6j,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Address Points for Area 05 () [Illinois--Cook County] {2016},Historical - ccgisdata - Address Points for Area 05 (2016),"This Address Point feature class contains one point for every address in Survey Township 05 (Township 42 N, Range 13 E; see ccgisdata - Survey Township (Area) 2014).",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2016-05-11,2016,2016-2016,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/38yg-b73x,https://datacatalog.cookcountyil.gov/api/geospatial/38yg-b73x?method=export&format=Original,38yg-b73x,https://datacatalog.cookcountyil.gov/api/views/38yg-b73x,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Address Points for Area 02 () [Illinois--Cook County] {2016},Historical - ccgisdata - Address Points for Area 02 (2016),"This Address Point feature class contains one point for every address in Survey Township 02 (Township 42 N, Range 10 E; see ccgisdata - Survey Township (Area) 2014).",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2016-05-11,2016,2016-2016,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/4977-ijic,https://datacatalog.cookcountyil.gov/api/geospatial/4977-ijic?method=export&format=Original,4977-ijic,https://datacatalog.cookcountyil.gov/api/views/4977-ijic,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - GIS-Shapefiles of shelters in the Cook County Forest Preserves [Illinois--Cook County],Historical - GIS-Shapefiles of shelters in the Cook County Forest Preserves,"Shelters within the Forest Preserve District of Cook County. To view or use these shapefiles, compression software and special GIS software, such as ESRI ArcGIS, is required.",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2011-08-02,Continually updated resource,,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/4skh-pafr,https://datacatalog.cookcountyil.gov/download/4skh-pafr/application/zip,4skh-pafr,https://datacatalog.cookcountyil.gov/api/views/4skh-pafr,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Parcel [Illinois--Cook County] {2013},Historical - ccgisdata - Parcel 2013,The Parcel 2013 feature contains tax parcel polygons for the 2013 property tax assessment at the County. This feature reflects tax parcel polygons as they existed from 1/1/2013 through 12/31/2013. Each parcel is uniquely identified with a Property Index Number (PIN).,eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2015-04-02,2013,2013-2013,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/5i2c-y2u6,https://datacatalog.cookcountyil.gov/api/geospatial/5i2c-y2u6?method=export&format=Original,5i2c-y2u6,https://datacatalog.cookcountyil.gov/api/views/5i2c-y2u6,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Address Points for Area 04 () [Illinois--Cook County] {2016},Historical - ccgisdata - Address Points for Area 04 (2016),"This Address Point feature class contains one point for every address in Survey Township 04 (Township 42 N, Range 12 E; see ccgisdata - Survey Township (Area) 2014).",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2016-05-11,2016,2016-2016,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/5krr-vb4m,https://datacatalog.cookcountyil.gov/api/geospatial/5krr-vb4m?method=export&format=Original,5krr-vb4m,https://datacatalog.cookcountyil.gov/api/views/5krr-vb4m,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Address Points for Area 12 () [Illinois--Cook County] {2016},Historical - ccgisdata - Address Points for Area 12 (2016),"This Address Point feature class contains one point for every address in Survey Township 12 (Township 40 N, Range 12 E; see ccgisdata - Survey Township (Area) 2014).",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2016-05-11,2016,2016-2016,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/6265-sdqf,https://datacatalog.cookcountyil.gov/api/geospatial/6265-sdqf?method=export&format=Original,6265-sdqf,https://datacatalog.cookcountyil.gov/api/views/6265-sdqf,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Address Points for Area 25 () [Illinois--Cook County] {2016},Historical - ccgisdata - Address Points for Area 25 (2016),"This Address Point feature class contains one point for every address in Survey Township 25 (Township 37 N, Range 14 E; see ccgisdata - Survey Township (Area) 2014).",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2016-05-12,2016,2016-2016,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/6uxp-xqj6,https://datacatalog.cookcountyil.gov/api/geospatial/6uxp-xqj6?method=export&format=Original,6uxp-xqj6,https://datacatalog.cookcountyil.gov/api/views/6uxp-xqj6,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Address Points for Area 13 () [Illinois--Cook County] {2016},Historical - ccgisdata - Address Points for Area 13 (2016),"This Address Point feature class contains one point for every address in Survey Township 13 (Township 40 N, Range 13 E; see ccgisdata - Survey Township (Area) 2014).",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2016-05-11,2016,2016-2016,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/6y64-fiuv,https://datacatalog.cookcountyil.gov/api/geospatial/6y64-fiuv?method=export&format=Original,6y64-fiuv,https://datacatalog.cookcountyil.gov/api/views/6y64-fiuv,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Address Points for Area 03 () [Illinois--Cook County] {2016},Historical - ccgisdata - Address Points for Area 03 (2016),"This Address Point feature class contains one point for every address in Survey Township 03 (Township 42 N, Range 11 E; see ccgisdata - Survey Township (Area) 2014).",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2016-05-11,2016,2016-2016,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/7832-c962,https://datacatalog.cookcountyil.gov/api/geospatial/7832-c962?method=export&format=Original,7832-c962,https://datacatalog.cookcountyil.gov/api/views/7832-c962,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Address Points for Area 33 () [Illinois--Cook County] {2016},Historical - ccgisdata - Address Points for Area 33 (2016),"This Address Point feature class contains one point for every address in Survey Township 33 (Township 35 N, Range 15 E; see ccgisdata - Survey Township (Area) 2014).",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2016-05-12,2016,2016-2016,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/7fn9-axdp,https://datacatalog.cookcountyil.gov/api/geospatial/7fn9-axdp?method=export&format=Original,7fn9-axdp,https://datacatalog.cookcountyil.gov/api/views/7fn9-axdp,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Address Points for Area 14 () [Illinois--Cook County] {2016},Historical - ccgisdata - Address Points for Area 14 (2016),"This Address Point feature class contains one point for every address in Survey Township 14 (Township 40 N, Range 14 E; see ccgisdata - Survey Township (Area) 2014).",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2016-05-11,2016,2016-2016,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/7rcp-cifk,https://datacatalog.cookcountyil.gov/api/geospatial/7rcp-cifk?method=export&format=Original,7rcp-cifk,https://datacatalog.cookcountyil.gov/api/views/7rcp-cifk,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Rail Station [Illinois--Cook County] {2014},Historical - ccgisdata - Rail Station 2014,"This dataset contains a point feature class that represents railroad stations in Cook County, Illinois.",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2014-08-18,2014,2014-2014,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/a5w9-2wkv,https://datacatalog.cookcountyil.gov/api/geospatial/a5w9-2wkv?method=export&format=Original,a5w9-2wkv,https://datacatalog.cookcountyil.gov/api/views/a5w9-2wkv,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Address Points for Area 15 () [Illinois--Cook County] {2016},Historical - ccgisdata - Address Points for Area 15 (2016),"This Address Point feature class contains one point for every address in Survey Township 15 (Township 39 N, Range 12 E; see ccgisdata - Survey Township (Area) 2014).",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2016-05-11,2016,2016-2016,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/ai6s-9ihv,https://datacatalog.cookcountyil.gov/api/geospatial/ai6s-9ihv?method=export&format=Original,ai6s-9ihv,https://datacatalog.cookcountyil.gov/api/views/ai6s-9ihv,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Address Points for Area 18 () [Illinois--Cook County] {2016},Historical - ccgisdata - Address Points for Area 18 (2016),"This Address Point feature class contains one point for every address in Survey Township 18 (Township 38 N, Range 12 E; see ccgisdata - Survey Township (Area) 2014).",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2016-05-11,2016,2016-2016,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/b83i-7zxa,https://datacatalog.cookcountyil.gov/api/geospatial/b83i-7zxa?method=export&format=Original,b83i-7zxa,https://datacatalog.cookcountyil.gov/api/views/b83i-7zxa,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Address Points for Area 10 () [Illinois--Cook County] {2016},Historical - ccgisdata - Address Points for Area 10 (2016),"This Address Point feature class contains one point for every address in Survey Township 10 (Township 41 N, Range 13 E; see ccgisdata - Survey Township (Area) 2014).",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2016-05-11,2016,2016-2016,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/c4y3-uesx,https://datacatalog.cookcountyil.gov/api/geospatial/c4y3-uesx?method=export&format=Original,c4y3-uesx,https://datacatalog.cookcountyil.gov/api/views/c4y3-uesx,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Address Points for Area 29 () [Illinois--Cook County] {2016},Historical - ccgisdata - Address Points for Area 29 (2016),"This Address Point feature class contains one point for every address in Survey Township 29 (Township 36 N, Range 14 E; see ccgisdata - Survey Township (Area) 2014).",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2016-05-12,2016,2016-2016,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/d8c2-rize,https://datacatalog.cookcountyil.gov/api/geospatial/d8c2-rize?method=export&format=Original,d8c2-rize,https://datacatalog.cookcountyil.gov/api/views/d8c2-rize,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Parcel [Illinois--Cook County] {2012},Historical - ccgisdata - Parcel 2012,The Parcel 2012 feature contains tax parcel polygons for the 2012 property tax assessment at the County. This feature reflects tax parcel polygons as they existed from 1/1/2012 through 12/31/2012. Each parcel is uniquely identified with a Property Index Number (PIN).,eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2014-03-07,2012,2012-2012,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/e62c-6rz8,https://datacatalog.cookcountyil.gov/api/geospatial/e62c-6rz8?method=export&format=Original,e62c-6rz8,https://datacatalog.cookcountyil.gov/api/views/e62c-6rz8,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Address Points for Area 16 () [Illinois--Cook County] {2016},Historical - ccgisdata - Address Points for Area 16 (2016),"This Address Point feature class contains one point for every address in Survey Township 16 (Township 39 N, Range 13 E; see ccgisdata - Survey Township (Area) 2014).",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2016-05-11,2016,2016-2016,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/e9gq-iquy,https://datacatalog.cookcountyil.gov/api/geospatial/e9gq-iquy?method=export&format=Original,e9gq-iquy,https://datacatalog.cookcountyil.gov/api/views/e9gq-iquy,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Railroad [Illinois--Cook County] {2014},Historical - ccgisdata - Railroad 2014,"The railroad feature data layer depicts the location of railroad tracks (including single and multiple line tracks, railyards, and spurs) and railroad stations in Cook County, Illinois.",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2014-08-18,2014,2014-2014,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/g4rv-8w9m,https://datacatalog.cookcountyil.gov/api/geospatial/g4rv-8w9m?method=export&format=Original,g4rv-8w9m,https://datacatalog.cookcountyil.gov/api/views/g4rv-8w9m,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Address Points for Area 28 () [Illinois--Cook County] {2016},Historical - ccgisdata - Address Points for Area 28 (2016),"This Address Point feature class contains one point for every address in Survey Township 28 (Township 36 N, Range 13 E; see ccgisdata - Survey Township (Area) 2014).",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2016-05-12,2016,2016-2016,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/gug2-e5qv,https://datacatalog.cookcountyil.gov/api/geospatial/gug2-e5qv?method=export&format=Original,gug2-e5qv,https://datacatalog.cookcountyil.gov/api/views/gug2-e5qv,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - Cook County Commissioner District Map [Illinois--Cook County],Historical - Cook County Commissioner District Map,,eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2015-07-24,Continually updated resource,,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/ihae-id2m,https://datacatalog.cookcountyil.gov/api/geospatial/ihae-id2m?method=export&format=Original,ihae-id2m,https://datacatalog.cookcountyil.gov/api/views/ihae-id2m,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
