Title,Alternative Title,Description,Language,Creator,Publisher,Resource Type,Keyword,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Information,Image,Manifest,Identifier,ID,Access Rights,Provider,Code,Is Part Of,Member Of,Status,Accrual Method,Date Accessioned,Rights,Resource Class,Format,Suppressed,Child Record
"Map of Central Asia : comprising Bokhara, Cabool, Persia, the River Indus, and the countries eastwards of it","Map of Central Asia : comprising Bokhara, Cabool, Persia, the River Indus, and the countries eastwards of it",,eng,,J. Arrowsmith (London),,,1834,,1834-1834,Asia,,https://umedia.lib.umn.edu/item/p16022coll230:4196,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4196,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4196/manifest.json,UMN_ALMA:9976369408501701,p16022coll230:4196,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Inner-Asien & Indien : Südliches Blatt maassstab 1:7,500,000","Inner-Asien & Indien : Südliches Blatt maassstab 1:7,500,000",,gem,,Justus Perthes (Gotha),,,1892,,1892-1892,Asia,,https://umedia.lib.umn.edu/item/p16022coll230:4206,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4206,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4206/manifest.json,UMN_ALMA:9974129681101701,p16022coll230:4206,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Route map of the Bombay Presidency,Route map of the Bombay Presidency,,eng,,Quarter Master General's Dept. (Bombay),,Roads,1852,,1852-1852,"Bombay, India|India",,https://umedia.lib.umn.edu/item/p16022coll246:449,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll246/id/449,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll246/449/manifest.json,UMN_ALMA:9974490676901701,p16022coll246:449,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Balloon view--Boston Harbor,Balloon view--Boston Harbor,,eng,,"J.H. Daniels (Boston), 1979",,Coasts,1879,,1879-1879,"Boston, Massachusetts|Massachusetts",,https://umedia.lib.umn.edu/item/p16022coll230:4061,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4061,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4061/manifest.json,UMN_ALMA:9921004130001701,p16022coll230:4061,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Old Boston, compiled from the Book of possessions","Old Boston, compiled from the Book of possessions",,eng,,Trustees of the Boston Public Library (Boston),,Real Property,1881,,1881-1881,"Boston, Massachusetts|Massachusetts",,https://umedia.lib.umn.edu/item/p16022coll205:1125,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/1125,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/1125/manifest.json,UMN_ALMA:9956442020001701,p16022coll205:1125,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Vues de la côte du nord-ouest de l'Amérique : reconnue par les frégates Françaises la Boussole et l'Astrolabe en 1786,Vues de la côte du nord-ouest de l'Amérique : reconnue par les frégates Françaises la Boussole et l'Astrolabe en 1786,,fre,,Imprimerie de la République (Paris),,,1797,,1797-1797,British Columbia,,https://umedia.lib.umn.edu/item/p16022coll230:4058,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4058,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4058/manifest.json,UMN_ALMA:9975253008601701,p16022coll230:4058,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Map of the north eastern frontier with Burma and part of China, 1862","Map of the north eastern frontier with Burma and part of China, 1862",,eng,,Surveyor General's Office (Calcutta),,,1862,,1862-1862,Burma|China,,https://umedia.lib.umn.edu/item/p16022coll246:456,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll246/id/456,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll246/456/manifest.json,UMN_ALMA:9974089889701701,p16022coll246:456,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Part 2: Map of the Grand Trunk Road from Calcutta to the Sutledge, in three parts : exhibiting the staging bungalows, encamping grounds, dak and overseers' choukies, post office, thannahs and tuhseeldaries","Part 2: Map of the Grand Trunk Road from Calcutta to the Sutledge, in three parts : exhibiting the staging bungalows, encamping grounds, dak and overseers' choukies, post office, thannahs and tuhseeldaries",,eng,,Office of the Supt. Grand Trunk Road (Allahabad),,Roads,1858,,1858-1858,"Calcutta, India|India",,https://umedia.lib.umn.edu/item/p16022coll246:451,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll246/id/451,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll246/451/manifest.json,UMN_ALMA:9974347671901701,p16022coll246:451,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Country south of the Ganges, from Calcutta to Benares : compiled from the Revenue Survey based on the Great Trigonometrical Operations to 1859","Country south of the Ganges, from Calcutta to Benares : compiled from the Revenue Survey based on the Great Trigonometrical Operations to 1859",,eng,,Surveyor General's Office (Calcutta),,,1864,,1864-1864,"Calcutta, India|India",,https://umedia.lib.umn.edu/item/p16022coll246:455,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll246/id/455,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll246/455/manifest.json,UMN_ALMA:9974088393901701,p16022coll246:455,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
California,California,,eng,,J.H. Colton (New York),,,1855,,1855-1855,California,,https://umedia.lib.umn.edu/item/p16022coll230:4230,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4230,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4230/manifest.json,UMN_ALMA:9952812930001701,p16022coll230:4230,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Indian regions, forts and camps, 1850-1875","Indian regions, forts and camps, 1850-1875",,eng,,publisher not identified (Place of publication not identified),,,1929,,1929-1929,California,,https://umedia.lib.umn.edu/item/p16022coll230:4201,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4201,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4201/manifest.json,UMN_ALMA:9923724750001701,p16022coll230:4201,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Map of San Joaquin County, California","Map of San Joaquin County, California",,eng,,"Thomas Bros. Maps (Oakland, Calif)",,,1928,,1928-1928,California,,https://umedia.lib.umn.edu/item/p16022coll230:4257,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4257,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4257/manifest.json,UMN_ALMA:9943120620001701,p16022coll230:4257,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Orland Project, California","Orland Project, California",,eng,,"Bureau of Reclamation (California?), 1927",,Orland Project (Calif.)|Orland Project (Calif.)|Water Supply|Irrigation|Water Supply|Irrigation,1927,,1927-1927,California,,https://umedia.lib.umn.edu/item/p16022coll230:4252,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4252,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4252/manifest.json,UMN_ALMA:9976556207801701,p16022coll230:4252,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Reconnaissance map of the Salton Sink, California","Reconnaissance map of the Salton Sink, California",,eng,,The Survey (Washington),,,1908,,1908-1908,California,,https://umedia.lib.umn.edu/item/p16022coll230:4209,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4209,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4209/manifest.json,UMN_ALMA:9962731770001701,p16022coll230:4209,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Topographic map of Salton Sea and vicinity,Topographic map of Salton Sea and vicinity,,eng,,"Dept. of the Interior, U.S. Geological Survey (Washington, D.C)",,,1928,,1928-1928,California,,https://umedia.lib.umn.edu/item/p16022coll230:4261,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4261,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4261/manifest.json,UMN_ALMA:9962739230001701,p16022coll230:4261,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Topographic map of Sequoia and General Grant National Parks, California","Topographic map of Sequoia and General Grant National Parks, California",,eng,,The Survey (Washington),,,1927,,1927-1927,California,,https://umedia.lib.umn.edu/item/p16022coll230:4195,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4195,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4195/manifest.json,UMN_ALMA:9978301621201701,p16022coll230:4195,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Map of California and Nevada, with parts of Utah & Arizona","Map of California and Nevada, with parts of Utah & Arizona",,eng,,"U.S. Army? (Washington,  D.C.?)",,Railroads|Railroads,1879,,1879-1879,California|Nevada|Utah|Arizona,,https://umedia.lib.umn.edu/item/p16022coll230:4253,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4253,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4253/manifest.json,UMN_ALMA:9915365150001701,p16022coll230:4253,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Profile of Canadian Pacific railway,Profile of Canadian Pacific railway,,eng,,Geological Survey of Canada (Ottawa),,Railroads,1901,,1901-1901,Canada,,https://umedia.lib.umn.edu/item/p16022coll230:4066,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4066,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4066/manifest.json,UMN_ALMA:9978216749201701,p16022coll230:4066,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
A plan of the Coppermine River,A plan of the Coppermine River,,eng,,,,Manuscript Maps,1771,,1771-1771,Canada,,https://umedia.lib.umn.edu/item/p16022coll230:4078,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4078,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4078/manifest.json,UMN_ALMA:9973955578201701,p16022coll230:4078,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Chile,Chile,,eng,,Stanford's Geogr. Estabt (London),,,1902,,1902-1902,Chile,,https://umedia.lib.umn.edu/item/p16022coll230:4250,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4250,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4250/manifest.json,UMN_ALMA:9976715209001701,p16022coll230:4250,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Map showing the plane-table and compass traverse, in southeastern Tibet","Map showing the plane-table and compass traverse, in southeastern Tibet",,eng,,Royal Geographical Society (London),,,1926,,1926-1926,China,,https://umedia.lib.umn.edu/item/p16022coll230:4236,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4236,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4236/manifest.json,UMN_ALMA:9940402020001701,p16022coll230:4236,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Colombie,Colombie,,fre,,Fonderie et imprimerie de J. Carez (Paris),,,1825,,1825-1825,Colombia,,https://umedia.lib.umn.edu/item/p16022coll230:4193,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4193,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4193/manifest.json,UMN_ALMA:9975281906301701,p16022coll230:4193,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Karte von der Dessawanaÿ Colombo,Karte von der Dessawanaÿ Colombo,,gem,,publisher not identified (Nuremberg),,,1736,,1736-1736,Colombo ,,https://umedia.lib.umn.edu/item/p16022coll205:1142,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/1142,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/1142/manifest.json,UMN_ALMA:9977801691501701,p16022coll205:1142,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
State of Colorado,State of Colorado,,eng,,"Andrew B. Graham Co., Photo-Lithographers (Washington, D.C)",,Land Use|Counties|Cities and Towns|Indian Reservations|Military Bases|Forest Reserves|Coal,1906,,1906-1906,Colorado,,https://umedia.lib.umn.edu/item/p16022coll230:4227,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4227,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4227/manifest.json,UMN_ALMA:9978376423201701,p16022coll230:4227,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
