Title,Alternative Title,Description,Language,Display Note,B1G Language,Creator,Creator ID,Publisher,Provider,Resource Class,Resource Type,Subject,Theme,Keyword,Temporal Coverage,Date Issued,Index Year,Date Range,Spatial Coverage,Geometry,Bounding Box,Centroid,Georeferenced,GeoNames,Relation,Member Of,Is Part Of,Source,Is Version Of,Replaces,Is Replaced By,Rights,Rights Holder,License,Access Rights,Format,File Size,WxS Identifier,B1G Image,ID,Identifier,Code,Accrual Method,Accrual Periodicity,Date Accessioned,Date Retired,Status,Publication State,Suppressed Record,Child Record,Mediator,Access,Created At,Updated At,Documentation,Download,FeatureServer,FGDC,Harvard Download,HTML,IIIF,ImageServer,Information,ISO19139,Manifest,MapServer,MODS,oEmbed,Index Map,TileServer,WCS,WFS,WMS,COG,PMTiles,XYZ Tiles,WMTS,TileJSON,Tile Map Service
Chester County GIS Data,"","Website for finding and accessing open data provided by Chester County, Pennsylvania",eng,"","","","",Pennsylvania--Chester County,,Websites,"",County government records,"","",Continually updated resource,,"","",Pennsylvania--Chester County|Pennsylvania,"POLYGON((-76.137 40.245, -75.361 40.245, -75.361 39.721, -76.137 39.721, -76.137 40.245))","-76.137,39.721,-75.361,40.245","39.983,-75.749",,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,"","","","","","","","",Public,ArcGIS Hub,,,,08b-42029,https://chester-county-s-gis-hub-chesco.hub.arcgis.com/api/feed/dcat-us/1.1.json,08b-42029,DCAT US 1.1,Weekly,2022-07-26,,Indexed,published,,,"",,2021-04-27 13:50:02 -0500,2024-05-28 16:15:19 -0500,,,,,,,,,https://chester-county-s-gis-hub-chesco.hub.arcgis.com,,,,,,,,,,,,,,,,
Chippewa County Open GIS Data,"","Website for finding and accessing open data provided by Chippewa County, Minnesota",eng,"","","","",Minnesota--Chippewa County,,Websites,"",County government records,"","",Continually updated resource,,"","",Minnesota--Chippewa County|Minnesota,"POLYGON((-96.037 45.153, -95.246 45.153, -95.246 44.751, -96.037 44.751, -96.037 45.153))","-96.037,44.751,-95.246,45.153","44.952,-95.64150000000001",,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,"","","","","","","","",Public,ArcGIS Hub,,,,05b-27023,https://data-chippewa.opendata.arcgis.com/api/feed/dcat-us/1.1.json,05b-27023,DCAT US 1.1,Weekly,2022-04-24,,Indexed,published,,,"",,2021-04-26 12:02:51 -0500,2024-05-28 16:15:19 -0500,,,,,,,,,https://data-chippewa.opendata.arcgis.com,,,,,,,,,,,,,,,,
City of Grand Island Public GIS Data Portal,"","Website for finding and accessing open data provided by the City of Grand Island, Nebraska",eng,"","","","",Nebraska--Grand Island,,Websites,"",Municipal government records,"","",Continually updated resource,,"","",Nebraska--Grand Island|Nebraska,"POLYGON((-98.431 40.989, -98.288 40.989, -98.288 40.855, -98.431 40.855, -98.431 40.989))","-98.431,40.855,-98.288,40.989","40.922,-98.3595",,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,"","","","","","","","",Public,ArcGIS Hub,,,https://pbs.twimg.com/profile_images/963165537164345344/J7hb8lAn_400x400.jpg,13c-02,https://data-cityofgi.opendata.arcgis.com/api/feed/dcat-us/1.1.json,13c-02,DCAT US 1.1,Weekly,2022-10-27,,Indexed,published,,,"",,2021-04-27 13:00:53 -0500,2024-05-28 16:15:19 -0500,,,,,,,,,https://data-cityofgi.opendata.arcgis.com,,,,,,,,,,,,,,,,
"City of Madison, WI GIS Open Data Portal","","Website for finding and accessing open data provided by the City of Madison, Wisconsin",eng,"","","","",Wisconsin--Madison,,Websites,"",Municipal government records,"","",Continually updated resource,,"","",Wisconsin--Madison|Wisconsin,"POLYGON((-89.567 43.172, -89.246 43.172, -89.246 42.998, -89.567 42.998, -89.567 43.172))","-89.567,42.998,-89.246,43.172","43.084999999999994,-89.4065",,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,"","","","","","","","",Public,ArcGIS Hub,,,,10c-03,https://data-cityofmadison.opendata.arcgis.com/api/feed/dcat-us/1.1.json,10c-03,DCAT US 1.1,Weekly,2022-10-27,,Indexed,published,,,"",,2021-04-26 11:51:07 -0500,2024-05-28 16:15:19 -0500,,,,,,,,,https://data-cityofmadison.opendata.arcgis.com,,,,,,,,,,,,,,,,
City of Saint Paul GIS Data,"","Website for finding and accessing open data provided by the City of Saint Paul, Minnesota",eng,"","","","",Minnesota--Saint Paul,,Websites,"",Municipal government records,"","",Continually updated resource,,"","",Minnesota--Saint Paul|Minnesota,"POLYGON((-93.208 44.992, -93.004 44.992, -93.004 44.887, -93.208 44.887, -93.208 44.992))","-93.208,44.887,-93.004,44.992","44.939499999999995,-93.106",,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,"","","","","","","","",Public,ArcGIS Hub,,,,05c-02,https://information.stpaul.gov/api/feed/dcat-us/1.1.json,05c-02,DCAT US 1.1,Weekly,2021-04-26,,Indexed,published,,,"",,2021-04-26 12:02:51 -0500,2024-05-28 16:15:19 -0500,,,,,,,,,https://information.stpaul.gov,,,,,,,,,,,,,,,,
Clay County Open Data,"","Website for finding and accessing open data provided by Clay County, Minnesota",eng,"","","","",Minnesota--Clay County,,Websites,"",County government records,"","",Continually updated resource,,"","",Minnesota--Clay County|Minnesota,"POLYGON((-96.840 47.151, -96.172 47.151, -96.172 46.629, -96.840 46.629, -96.840 47.151))","-96.840,46.629,-96.172,47.151","46.89,-96.506",,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,"","","","","","","","",Public,ArcGIS Hub,,,,05b-27027,https://data-claycountymn.opendata.arcgis.com/api/feed/dcat-us/1.1.json,05b-27027,DCAT US 1.1,Weekly,2022-09-26,,Indexed,published,,,"",,2021-04-26 12:02:51 -0500,2024-05-28 16:15:20 -0500,,,,,,,,,https://data-claycountymn.opendata.arcgis.com,,,,,,,,,,,,,,,,
CMAP (Chicago Metropolitan Agency for Planning) Data Hub,"",Website for finding and accessing open data provided by CMAP (Chicago Metropolitan Agency for Planning) Data Hub,eng,"","","","",CMAP (Chicago Metropolitan Agency for Planning) Data Hub,,Websites,"",Municipal government records,"","",Continually updated resource,,"","",Illinois--Chicago|Illinois,"POLYGON((-87.940 42.023, -87.524 42.023, -87.524 41.644, -87.940 41.644, -87.940 42.023))","-87.940,41.644,-87.524,42.023","41.8335,-87.732",,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,"","","","","","","","",Public,ArcGIS Hub,,,,12f-01,https://datahub.cmap.illinois.gov/api/feed/dcat-us/1.1.json,12f-01,DCAT US 1.1,Weekly,2022-06-24,,Indexed,published,,,"",,2021-04-27 13:50:03 -0500,2024-05-28 16:15:20 -0500,,,,,,,,,https://datahub.cmap.illinois.gov,,,,,,,,,,,,,,,,
Cook Central,"","Website for finding and accessing open data provided by Cook County, Illinois",eng,"","","","",Illinois--Cook County,,Websites,"",County government records,"","",Continually updated resource,,"","",Illinois--Cook County|Illinois,"POLYGON((-88.263 42.154, -87.523 42.154, -87.523 41.470, -88.263 41.470, -88.263 42.154))","-88.263,41.470,-87.523,42.154","41.812,-87.893",,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,"","","","","","","","",Public,ArcGIS Hub,,,,12b-17031,https://hub-cookcountyil.opendata.arcgis.com/api/feed/dcat-us/1.1.json,12b-17031,DCAT US 1.1,Weekly,2022-10-27,,Indexed,published,,,"",,2021-04-27 13:49:59 -0500,2024-05-28 16:15:20 -0500,,,,,,,,,https://hub-cookcountyil.opendata.arcgis.com,,,,,,,,,,,,,,,,
Crawford County Open Data,"","Website for finding and accessing open data provided by Crawford County, Pennsylvania",eng,"","","","",Pennsylvania--Crawford County,,Websites,"",County government records,"","",Continually updated resource,,"","",Pennsylvania--Crawford County|Pennsylvania,"POLYGON((-80.519 41.852, -79.612 41.852, -79.612 41.480, -80.519 41.480, -80.519 41.852))","-80.519,41.480,-79.612,41.852","41.666,-80.0655",,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,"","","","","","","","",Public,ArcGIS Hub,,,,08b-42039,https://share-open-data-crawfordcountypa.opendata.arcgis.com/api/feed/dcat-us/1.1.json,08b-42039,DCAT US 1.1,Weekly,2019-01-01,,Indexed,published,,,"",,2021-04-27 13:50:02 -0500,2024-05-28 16:15:20 -0500,,,,,,,,,https://share-open-data-crawfordcountypa.opendata.arcgis.com,,,,,,,,,,,,,,,,
Cuyahoga County Open Data,"","Website for finding and accessing open data provided by Cuyahoga County, Ohio",eng,"","","","",Ohio--Cuyahoga County,,Websites,"",County government records,"","",Continually updated resource,,"","",Ohio--Cuyahoga County|Ohio,"POLYGON((-81.971 41.640, -81.375 41.640, -81.375 41.275, -81.971 41.275, -81.971 41.640))","-81.971,41.275,-81.375,41.640","41.457499999999996,-81.673",,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,"","","","","","","","",Public,ArcGIS Hub,,,,11b-39035,https://data-cuyahoga.opendata.arcgis.com/api/feed/dcat-us/1.1.json,11b-39035,DCAT US 1.1,Weekly,2022-10-27,,Indexed,published,,,"",,2021-04-27 13:50:00 -0500,2024-05-28 16:15:20 -0500,,,,,,,,,https://data-cuyahoga.opendata.arcgis.com,,,,,,,,,,,,,,,,
Dauphin County GIS Data Portal,"","Website for finding and accessing open data provided by Dauphin County, Pennsylvania",eng,"","","","",Pennsylvania--Dauphin County,,Websites,"",County government records,"","",Continually updated resource,,"","",Pennsylvania--Dauphin County|Pennsylvania,"POLYGON((-77.029 40.660, -76.535 40.660, -76.535 40.120, -77.029 40.120, -77.029 40.660))","-77.029,40.120,-76.535,40.660","40.39,-76.782",,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,"","","","","","","","",Public,ArcGIS Hub,,,,08b-42043,https://data-dauphinco.opendata.arcgis.com/api/feed/dcat-us/1.1.json,08b-42043,DCAT US 1.1,Weekly,2021-04-27,,Indexed,published,,,"",,2021-04-27 13:50:02 -0500,2024-05-28 16:15:20 -0500,,,,,,,,,https://data-dauphinco.opendata.arcgis.com,,,,,,,,,,,,,,,,
Delaware County GIS,"","Website for finding and accessing open data provided by Delaware County, Ohio",eng,"","","","",Ohio--Delaware County,,Websites,"",County government records,"","",Continually updated resource,,"","",Ohio--Delaware County|Ohio,"POLYGON((-83.250 40.444, -82.745 40.444, -82.745 40.126, -83.250 40.126, -83.250 40.444))","-83.250,40.126,-82.745,40.444","40.285,-82.9975",,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,"","","","","","","","",Public,ArcGIS Hub,,,,11b-39041,https://gisdata-delco.hub.arcgis.com/api/feed/dcat-us/1.1.json,11b-39041,DCAT US 1.1,Weekly,2021-04-27,,Indexed,published,,,"",,2021-04-27 13:50:01 -0500,2024-05-28 16:15:20 -0500,,,,,,,,,https://gisdata-delco.hub.arcgis.com,,,,,,,,,,,,,,,,
Delaware Valley Regional Planning Commission (DVRPC),"",Website for finding and accessing open data provided by Delaware Valley Regional Planning Commission,eng,"","",Delaware Valley Regional Planning Commission,"",Pennsylvania,,Websites,"",Intergovernment records,"","",Continually updated resource,,"","",Pennsylvania,"POLYGON((-77.137 41.094, -73.971 41.094, -73.971 38.830, -77.137 38.830, -77.137 41.094))","-77.137,38.830,-73.971,41.094","39.962,-75.554",,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,"","","","","","","","",Public,ArcGIS Hub,,,,04f-01,https://dvrpc-dvrpcgis.opendata.arcgis.com/api/feed/dcat-us/1.1.json,04f-01,DCAT US 1.1,Weekly,2022-10-27,,Indexed,published,,,"",,2021-04-27 13:50:03 -0500,2024-05-28 16:15:20 -0500,,,,,,,,,https://dvrpc-dvrpcgis.opendata.arcgis.com,,,,,,,,,,,,,,,,
Detroit Open Data,"","Website for finding and accessing open data provided by the City of Detroit, Michigan",eng,"","","","",Michigan--Detroit,,Websites,"",Municipal government records,"","",Continually updated resource,,"","",Michigan--Detroit|Michigan,"POLYGON((-83.288 42.450, -82.910 42.450, -82.910 42.255, -83.288 42.255, -83.288 42.450))","-83.288,42.255,-82.910,42.450","42.352500000000006,-83.09899999999999",,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,"","","","","","","","",Public,ArcGIS Hub,,,,07c-01,https://data.detroitmi.gov/api/feed/dcat-us/1.1.json,07c-01,DCAT US 1.1,Weekly,2021-04-27,,Indexed,published,,,"",,2021-04-27 13:50:02 -0500,2024-05-28 16:15:20 -0500,,,,,,,,,https://data.detroitmi.gov,,,,,,,,,,,,,,,,
"Discover Dane County, WI","","Website for finding and accessing open data provided by Dane County, Wisconsin",eng,"","","","",Wisconsin--Dane County,,Websites,"",County government records,"","",Continually updated resource,,"","",Wisconsin--Dane County|Wisconsin,"POLYGON((-89.567 43.172, -89.246 43.172, -89.246 42.998, -89.567 42.998, -89.567 43.172))","-89.567,42.998,-89.246,43.172","43.084999999999994,-89.4065",,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,"","","","","","","","",Public,ArcGIS Hub,,,https://lio.countyofdane.com/documents/images/lio-logo-50.png,10b-55025,https://gis-countyofdane.opendata.arcgis.com/api/feed/dcat-us/1.1.json,10b-55025,DCAT US 1.1,Weekly,2022-04-04,,Indexed,published,,,"",,2021-04-26 11:51:13 -0500,2024-05-28 16:15:20 -0500,,,,,,,,,https://gis-countyofdane.opendata.arcgis.com,,,,,,,,,,,,,,,,
DuPage County GIS,"","Website for finding and accessing open data provided by DuPage County, Illinois",eng,"","","","",Illinois--DuPage County,,Websites,"",County government records,"","",Continually updated resource,,"","",Illinois--DuPage County|Illinois,"POLYGON((-88.263 41.994, -87.914 41.994, -87.914 41.685, -88.263 41.685, -88.263 41.994))","-88.263,41.685,-87.914,41.994","41.8395,-88.08850000000001",,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,"","","","","","","","",Public,ArcGIS Hub,,,,12b-17043,https://gisdata-dupage.opendata.arcgis.com/api/feed/dcat-us/1.1.json,12b-17043,DCAT US 1.1,Weekly,2022-10-27,,Indexed,published,,,"",,2021-04-27 13:49:59 -0500,2024-05-28 16:15:20 -0500,,,,,,,,,https://gisdata-dupage.opendata.arcgis.com,,,,,,,,,,,,,,,,
Eau Claire County Geospatial Hub,"","Website for finding and accessing open data provided by Eau Claire County, Wisconsin",eng,"","","","",Wisconsin--Eau Claire County,,Websites,"",County government records,"","",Continually updated resource,,"","",Wisconsin--Eau Claire County|Wisconsin,"POLYGON((-91.595 44.879, -91.368 44.879, -91.368 44.756, -91.595 44.756, -91.595 44.879))","-91.595,44.756,-91.368,44.879","44.817499999999995,-91.4815",,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,"","","","","","","","",Public,ArcGIS Hub,,,https://www.arcgis.com/sharing/rest/content/items/815dd2d8a4434dc3b455ba4dcc7639ed/resources/eauclairecountywi-logo.png?v=1611986122727,10b-55035-01,https://hub-eccounty.hub.arcgis.com/api/feed/dcat-us/1.1.json,10b-55035,DCAT US 1.1,Weekly,2022-10-27,,Indexed,published,,,"",,2021-04-26 11:51:14 -0500,2024-05-28 16:15:20 -0500,,,,,,,,,https://hub-eccounty.hub.arcgis.com,,,,,,,,,,,,,,,,
"Evansville, Vanderburgh County, Indiana Open Data Collection","","Website for finding and accessing open data provided by the city of Evansville & Vanderburgh County, Indiana",eng,"","","","",Indiana--Evansville,,Websites,"",Municipal government records|County government records,"","",Continually updated resource,,"","",Indiana--Evansville|Indiana-Vanderburgh County|Indiana,"POLYGON((-87.701 38.168, -87.449 38.168, -87.449 37.826, -87.701 37.826, -87.701 38.168))","-87.701,37.826,-87.449,38.168","37.997,-87.57499999999999",,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,"","","","","","","","",Public,ArcGIS Hub,,,,01b-18163,https://dev-evansvilleapc.opendata.arcgis.com/api/feed/dcat-us/1.1.json,01b-18163,DCAT US 1.1,Weekly,2022-07-26,,Indexed,published,,,"",,2021-04-27 10:43:06 -0500,2024-05-28 16:15:21 -0500,,,,,,,,,https://dev-evansvilleapc.opendata.arcgis.com,,,,,,,,,,,,,,,,
"Franklin County Auditor, Ohio Open Data","","Website for finding and accessing open data provided by Franklin County, Ohio",eng,"","","","",Ohio--Franklin County,,Websites,"",County government records,"","",Continually updated resource,,"","",Ohio--Franklin County|Ohio,"POLYGON((-83.261 40.143, -82.762 40.143, -82.762 39.795, -83.261 39.795, -83.261 40.143))","-83.261,39.795,-82.762,40.143","39.969,-83.0115",,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,"","","","","","","","",Public,ArcGIS Hub,,,,11b-39049,https://auditor-fca.opendata.arcgis.com/api/feed/dcat-us/1.1.json,11b-39049,DCAT US 1.1,Weekly,2022-06-16,,Indexed,published,,,"",,2021-04-27 13:50:01 -0500,2024-05-28 16:15:21 -0500,,,,,,,,,https://auditor-fca.opendata.arcgis.com,,,,,,,,,,,,,,,,
